C_per,Si_per,Mn_per,P_per,S_per,Cu_per,Mg_per,Hardness_BHN,Nodularity_per,Pearlite_per,Ferrite_per,Nodule_Count,Sand_AFS_Fresh,Sand_AFS_Returned,Clay_Fresh,Clay_Returned,FRS,KOS,PH_Fresh_Sand,PH_Returned_Sand ,Sand_temp,RT_Hum,Hum_per,Stripping,Viscosity,Baume ,Remarks
3.912,2.771,0.458,0.055,0.033,0.652,0.052,148,70.21,58.81,41.19,250,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,36,39,54,0
3.447,2.465,0.358,0.012,0.008,0.313,0.052,190,80.73,58.81,41.19,305,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,36,39,54,0
3.447,2.465,0.358,0.012,0.008,0.313,0.052,190,80.73,58.81,41.19,305,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,36,39,54,1
3.447,2.465,0.358,0.012,0.008,0.313,0.052,190,80.73,58.81,41.19,305,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,36,39,54,1
3.447,2.465,0.358,0.012,0.008,0.313,0.052,190,80.73,58.81,41.19,305,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,36,39,54,1
3.447,2.465,0.358,0.012,0.008,0.313,0.052,190,80.73,58.81,41.19,305,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,36,39,54,1
3.012,2.156,0.111,0.032,0.011,0.256,0.048,152,81.77,4.7,95.3,306,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,35,39,54,0
3.501,2.364,0.26,0.019,0.008,0.047,0.048,152,81.77,4.7,95.3,306,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,35,39,54,0
3.501,2.364,0.26,0.019,0.008,0.047,0.048,152,81.77,4.7,95.3,306,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,35,39,54,1
3.501,2.364,0.26,0.019,0.008,0.047,0.048,152,81.77,4.7,95.3,306,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,35,39,54,1
3.501,2.364,0.26,0.019,0.008,0.047,0.048,152,81.77,4.7,95.3,306,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,35,39,54,1
3.501,2.364,0.26,0.019,0.008,0.047,0.048,152,81.77,4.7,95.3,306,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,35,39,54,1
3.159,2.874,0.412,0.042,0.032,0.789,0.045,150,82.11,63.64,36.37,316,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,34,39,54,0
3.391,2.494,0.351,0.016,0.008,0.282,0.045,201,82.11,63.64,36.37,316,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,34,39,54,0
3.391,2.494,0.351,0.016,0.008,0.282,0.045,201,82.11,63.64,36.37,316,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,34,39,54,1
3.391,2.494,0.351,0.016,0.008,0.282,0.045,201,82.11,63.64,36.37,316,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,34,39,54,1
3.391,2.494,0.351,0.016,0.008,0.282,0.045,201,82.11,63.64,36.37,316,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,34,39,54,1
3.391,2.494,0.351,0.016,0.008,0.282,0.045,201,82.11,63.64,36.37,316,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,34,39,54,1
3.001,2.189,0.012,0.004,0.002,0.235,0.044,157,75.25,8.15,91.84,297,39.48,38.67,0.34,0.32,0.34,1.59,8.15,9.35,35,30,59,33,39,54,0
